Decade,Biome,OCAR_g_m2_yr,Lake_Area_km2,Resevoir_Area_km2
1900,Boreal Forest and Taiga,7.063474,1644865.743,1738
1910,Boreal Forest and Taiga,6.115977,1644865.743,410
1920,Boreal Forest and Taiga,11.88598,1644865.743,2131
1930,Boreal Forest and Taiga,11.28871,1644865.743,6589
1940,Boreal Forest and Taiga,11.22519,1644865.743,6872
1950,Boreal Forest and Taiga,10.48552,1644865.743,9305
1960,Boreal Forest and Taiga,12.94219,1644865.743,13940
1970,Boreal Forest and Taiga,18.46014,1644865.743,26743
1980,Boreal Forest and Taiga,13.1203,1644865.743,38172
1990,Boreal Forest and Taiga,13.4056,1644865.743,45524
2000,Boreal Forest and Taiga,17.84598,1644865.743,46838
1900,Temperate Mixed Forest,17.73109,394236,2115
1910,Temperate Mixed Forest,25.90362,394236,2904
1920,Temperate Mixed Forest,30.73109,394236,5004
1930,Temperate Mixed Forest,33.04635,394236,8406
1940,Temperate Mixed Forest,35.65772,394236,13351
1950,Temperate Mixed Forest,39.2016,394236,20228
1960,Temperate Mixed Forest,42.83035,394236,36402
1970,Temperate Mixed Forest,45.39869,394236,42967
1980,Temperate Mixed Forest,47.17706,394236,49431
1990,Temperate Mixed Forest,47.54909,394236,52028
2000,Temperate Mixed Forest,49.41368,394236,54197
1900,Temperate Grasslands,24.7315,211707.7975,59
1910,Temperate Grasslands,37.91821,211707.7975,177
1920,Temperate Grasslands,42.51278,211707.7975,309
1930,Temperate Grasslands,43.40159,211707.7975,481
1940,Temperate Grasslands,53.54172,211707.7975,1176
1950,Temperate Grasslands,61.39495,211707.7975,2222
1960,Temperate Grasslands,58.0917,211707.7975,18720
1970,Temperate Grasslands,61.49782,211707.7975,24555
1980,Temperate Grasslands,73.14537,211707.7975,29897
1990,Temperate Grasslands,73.89932,211707.7975,31207
2000,Temperate Grasslands,87.83215,211707.7975,31641
1900,Tropical Moist and Dry Forest,22.85501,269747.1479,83
1910,Tropical Moist and Dry Forest,33.94247,269747.1479,132
1920,Tropical Moist and Dry Forest,32.86443,269747.1479,598
1930,Tropical Moist and Dry Forest,38.28769,269747.1479,929
1940,Tropical Moist and Dry Forest,36.8995,269747.1479,1448
1950,Tropical Moist and Dry Forest,41.34856,269747.1479,1679
1960,Tropical Moist and Dry Forest,58.18678,269747.1479,5255
1970,Tropical Moist and Dry Forest,64.50275,269747.1479,17385
1980,Tropical Moist and Dry Forest,64.80795,269747.1479,27086
1990,Tropical Moist and Dry Forest,61.84325,269747.1479,41638
2000,Tropical Moist and Dry Forest,98.4342,269747.1479,46662
1900,Large Lakes,10.42768244,873865,0
1910,Large Lakes,10.42768244,873865,0
1920,Large Lakes,10.42768244,873865,0
1930,Large Lakes,10.42768244,873865,0
1940,Large Lakes,10.42768244,873865,0
1950,Large Lakes,10.42768244,873865,0
1960,Large Lakes,10.42768244,873865,0
1970,Large Lakes,10.42768244,873865,0
1980,Large Lakes,10.42768244,873865,0
1990,Large Lakes,10.42768244,873865,0
2000,Large Lakes,10.42768244,873865,0
1900,Tropical Grasslands,8.641415,139884.9973,0
1910,Tropical Grasslands,13.17641,139884.9973,0
1920,Tropical Grasslands,12.16379,139884.9973,4
1930,Tropical Grasslands,12.63816,139884.9973,233
1940,Tropical Grasslands,26.74345,139884.9973,1177
1950,Tropical Grasslands,37.84849,139884.9973,2068
1960,Tropical Grasslands,36.32064,139884.9973,8668
1970,Tropical Grasslands,52.53809,139884.9973,13324
1980,Tropical Grasslands,71.66481,139884.9973,22209
1990,Tropical Grasslands,25.34376,139884.9973,26378
2000,Tropical Grasslands,21.84667,139884.9973,29812
1900,Tundra,2.552135,749062.9514,0
1910,Tundra,1.864455,749062.9514,58
1920,Tundra,2.984294,749062.9514,86
1930,Tundra,3.004172,749062.9514,87
1940,Tundra,3.136314,749062.9514,91
1950,Tundra,3.527799,749062.9514,135
1960,Tundra,3.465917,749062.9514,422
1970,Tundra,4.287109,749062.9514,1091
1980,Tundra,5.672861,749062.9514,1628
1990,Tundra,5.699712,749062.9514,1830
2000,Tundra,3.068185,749062.9514,1934
1900,Mangroves,52.13322722,31773.75929,0
1910,Mangroves,52.13322722,31773.75929,0
1920,Mangroves,52.13322722,31773.75929,0
1930,Mangroves,92.61496006,31773.75929,0
1940,Mangroves,133.0966929,31773.75929,0
1950,Mangroves,97.98287927,31773.75929,0
1960,Mangroves,105.6798508,31773.75929,0
1970,Mangroves,145.666,31773.75929,0
1980,Mangroves,66.79723,31773.75929,0
1990,Mangroves,105.3814131,31773.75929,0
2000,Mangroves,118.2428,31773.75929,0
1900,Flooded Grasslands and Savannas,31,78805.17866,0
1910,Flooded Grasslands and Savannas,31,78805.17866,0
1920,Flooded Grasslands and Savannas,31,78805.17866,0
1930,Flooded Grasslands and Savannas,31,78805.17866,0
1940,Flooded Grasslands and Savannas,31,78805.17866,8
1950,Flooded Grasslands and Savannas,31,78805.17866,8
1960,Flooded Grasslands and Savannas,31,78805.17866,11
1970,Flooded Grasslands and Savannas,31,78805.17866,5394
1980,Flooded Grasslands and Savannas,31,78805.17866,5509
1990,Flooded Grasslands and Savannas,31,78805.17866,5509
2000,Flooded Grasslands and Savannas,31,78805.17866,5509
1900,Montane Grasslands,10.92115,139841.7517,1
1910,Montane Grasslands,13.45683,139841.7517,3
1920,Montane Grasslands,12.74531,139841.7517,5
1930,Montane Grasslands,16.88243,139841.7517,9
1940,Montane Grasslands,12.33818,139841.7517,172
1950,Montane Grasslands,21.33291,139841.7517,175
1960,Montane Grasslands,23.95176,139841.7517,459
1970,Montane Grasslands,13.28024,139841.7517,632
1980,Montane Grasslands,16.99745,139841.7517,1123
1990,Montane Grasslands,16.65695,139841.7517,2080
2000,Montane Grasslands,18.48852,139841.7517,2869
1900,Deserts and Xeric Scrub,1.913663,236105.302,57
1910,Deserts and Xeric Scrub,7.158848,236105.302,294
1920,Deserts and Xeric Scrub,18.54921,236105.302,581
1930,Deserts and Xeric Scrub,7.24689,236105.302,764
1940,Deserts and Xeric Scrub,5.912774,236105.302,1715
1950,Deserts and Xeric Scrub,8.176126,236105.302,2376
1960,Deserts and Xeric Scrub,8.168436,236105.302,3909
1970,Deserts and Xeric Scrub,6.15892,236105.302,8299
1980,Deserts and Xeric Scrub,13.8538,236105.302,12858
1990,Deserts and Xeric Scrub,16.39843,236105.302,15371
2000,Deserts and Xeric Scrub,9.77758,236105.302,15587
1900,Temperate Conifer Forest,6.037443,92498.67046,59
1910,Temperate Conifer Forest,7.009397,92498.67046,403
1920,Temperate Conifer Forest,7.572046,92498.67046,1542
1930,Temperate Conifer Forest,9.099023,92498.67046,2396
1940,Temperate Conifer Forest,8.280678,92498.67046,3076
1950,Temperate Conifer Forest,7.756658,92498.67046,4022
1960,Temperate Conifer Forest,7.83736,92498.67046,6326
1970,Temperate Conifer Forest,9.472296,92498.67046,11373
1980,Temperate Conifer Forest,8.543097,92498.67046,14705
1990,Temperate Conifer Forest,4.82982,92498.67046,15330
2000,Temperate Conifer Forest,3.760792,92498.67046,15454
1900,Mediterranean Forest,4.47303,31083.20242,51
1910,Mediterranean Forest,4.372636,31083.20242,64
1920,Mediterranean Forest,5.174401,31083.20242,132
1930,Mediterranean Forest,6.070937,31083.20242,189
1940,Mediterranean Forest,21.54662,31083.20242,340
1950,Mediterranean Forest,15.07919,31083.20242,449
1960,Mediterranean Forest,10.09561,31083.20242,1178
1970,Mediterranean Forest,29.84153,31083.20242,2239
1980,Mediterranean Forest,34.34055,31083.20242,3092
1990,Mediterranean Forest,39.08514,31083.20242,3729
2000,Mediterranean Forest,38.01581,31083.20242,5210
